,Unnamed: 0,English,German_Singular,German_Plural,IPA
824,824,Shore,Die Küste,Die Küsten,diː kʏstə
825,825,General,Der General,Die Generäle,dɛːr ɡɛːnɛːraːl
826,826,Root,Die Wurzel,Die Wurzeln,diː vuːrt͡sɛːl
827,827,Robe,Der Umhang,Die Umhänge,dɛːr uːmhaŋk
828,828,Concern,Die Sorge,Die Sorgen,diː zoːrɡə
829,829,Press,Die Presse,-,diː prɛzə
830,830,Rat,Die Ratte,Die Ratten,diː ratə
831,831,Society,Die Gesellschaft,Die Gesellschaften,diː ɡɛːzɛlʃaft
832,832,Style,Der Stil,Die Stile,dɛːr stiːl
833,833,County,Der Bezirk,Die Bezirke,dɛːr bɛːt͡siːɐ̯k
834,834,Command,Der Befehl,Die Befehle,dɛːr bɛːfeːl
835,835,Visitor,Der Besucher,Die Besucher,dɛːr bɛːzʊxɐ
836,836,Model,Das Modell,Die Modelle,daːs moːdɛl
837,837,Chamber,Die Kammer,Die Kammern,diː kamɐ
838,838,Beast,Das Tier,Die Tiere,daːs tiːɐ̯
839,839,Bunch,Der Strauß,Die Sträuße,dɛːr straʊ̯s
840,840,Background,Der Hintergrund,Die Hintergründe,dɛːr hɪntɛːrɡrʊnt
841,841,Unit,Die Einheit,Die Einheiten,diː aɪ̯nhaɪ̯t
842,842,Furniture,Das Möbel,Die Möbel,daːs møbl̩
843,843,Nail,Der Nagel,Die Nägel,dɛːr naɡl̩
844,844,Scream,Der Schrei,Die Schreie,dɛːr ʃraɪ̯
845,845,Property,Das Eigentum,-,daːs aɪ̯ɡɛntʊm
846,846,Equipment,Die Ausrüstung,-,diː aʊ̯srʏstʊŋk
847,847,Driveway,Die Auffahrt,Die Auffahrten,diː aʊ̯faːɐ̯t
848,848,Grip,Der Griff,Die Griffe,dɛːr ɡrɪf
849,849,Tube,Die Röhre,Die Röhren,diː røːrə
850,850,Ash,Die Asche,Die Aschen,diː aʃə
851,851,Fan,Der Ventilator,Die Ventilatoren,dɛːr fɛntiːlaːtoːɐ̯
852,852,Opinion,Die Meinung,Die Meinungen,diː maɪ̯nʊŋk
853,853,Data,Die Daten,-,diː datn̩
854,854,Connection,Die Verbindung,Die Verbindungen,diː fɛːrbɪndʊŋk
855,855,Trick,Der Trick,Die Tricks,dɛːr triːk
856,856,Mystery,Das Geheimnis,Die Geheimnisse,daːs ɡeːaɪ̯mniːs
857,857,Period,Die Periode,Die Perioden,diː pɛːriːoːdə
858,858,Writing,Die Schrift,Die Schriften,diː ʃrɪft
859,859,Horror,Der Horror,-,dɛːr hɔroːɐ̯
860,860,Candy,Die Süßigkeiten,-,diː zyːsɪɡkaɪ̯tn̩
861,861,Bitch,Die Hündin,Die Hündinnen,diː hʏndiːn
862,862,Health,Die Gesundheit,-,diː ɡɛːzʊndhaɪ̯t
863,863,Manager,Der Manager,Die Manager,dɛːr maːnaːɡɐ
864,864,Safety,Die Sicherheit,-,diː zɪçɛːrhaɪ̯t
865,865,Height,Die Höhe,Die Höhen,diː høːə
866,866,Appearance,Das Aussehen,-,daːs aʊ̯zeːən
867,867,Sigh,Der Seufzer,Die Seufzer,dɛːr zɔɪ̯ft͡sɐ
868,868,Mine,Die Mine,Die Minen,diː miːnə
869,869,Cloth,Der Stoff,Die Stoffe,dɛːr stɔf
870,870,Reaction,Die Reaktion,Die Reaktionen,diː rɛːaktiːoːn
871,871,Source,Die Quelle,Die Quellen,diː kvɛlə
872,872,Self,Das Selbst,-,daːs zɛlbst
873,873,Pistol,Die Pistole,Die Pistolen,diː pɪstoːlə
874,874,Airport,Der Flughafen,Die Flughäfen,dɛːr fluːɡaːfɛːn
875,875,Hero,Der Held,Die Helden,dɛːr hɛlt
876,876,Promise,Das Versprechen,Die Versprechen,daːs fɛːrsprɛçn̩
877,877,Bow,Der Bogen,Die Bögen,dɛːr boɡn̩
878,878,Tent,Das Zelt,Die Zelte,daːs t͡sɛlt
879,879,Booth,Der Stand,Die Stände,dɛːr stant
880,880,Cash,Das Bargeld,-,daːs baːrɡɛlt
881,881,Avenue,Die Allee,Die Alleen,diː aleː
882,882,TShirt,Das T-Shirt,Die T-Shirts,daːs t-shiːɐ̯t
883,883,Carpet,Der Teppich,Die Teppiche,dɛːr tɛpɪç
884,884,Basement,Der Keller,Die Keller,dɛːr kɛlɐ
885,885,Girlfriend,Die Freundin,Die Freundinnen,diː frɔɪ̯ndiːn
886,886,Beard,Der Bart,Die Bärte,dɛːr baːɐ̯t
887,887,Brow,Die Augenbraue,Die Augenbrauen,diː aʊ̯ɡɛnbraʊ̯ə
888,888,Display,Der Bildschirm,Die Bildschirme,dɛːr bɪld͡ʒiːɐ̯m
889,889,Signal,Das Signal,Die Signale,daːs zɪnjaːl
890,890,Servant,Der Diener,Die Diener,dɛːr diːnɐ
891,891,Whisper,Das Flüstern,Die Flüster,daːs flʏstɛːɐ̯n
892,892,Doubt,Der Zweifel,Die Zweifel,dɛːr t͡svaɪ̯fɛːl
893,893,Account,Das Konto,Die Konten,daːs kɔntoː
894,894,Magic,Die Magie,-,diː maːɡiː
895,895,Hank,Der Klumpen,Die Klumpen,dɛːr klʊmpn̩
896,896,Limb,Das Glied,Die Glieder,daːs ɡliːt
897,897,Bastard,Der Bastard,Die Bastarde,dɛːr bastaːɐ̯t
898,898,Skull,Der Schädel,Die Schädel,dɛːr ʃɛdl̩
899,899,Sentence,Der Satz,Die Sätze,dɛːr zaːt͡s
900,900,Collar,Der Kragen,Die Kragen,dɛːr kraɡn̩
901,901,Horn,Das Horn,Die Hörner,daːs hoːɐ̯n
902,902,Oak,Die Eiche,Die Eichen,diː aɪ̯çə
903,903,Ankle,Der Knöchel,Die Knöchel,dɛːr knœçl̩
904,904,Doll,Die Puppe,Die Puppen,diː pʊpə
905,905,Sandwich,Das Sandwich,Die Sandwiches,daːs zandvɪç
906,906,Robin,Der Rotkehlchen,Die Rotkehlchen,dɛːr rɔtkelxn̩
907,907,Justice,Die Gerechtigkeit,-,diː ɡɛːrɛçtɪɡkaɪ̯t
908,908,Pride,Der Stolz,-,dɛːr stoːls
909,909,Youth,Die Jugend,-,diː juɡn̩t
910,910,Secretary,Der Sekretär,Die Sekretäre,dɛːr zɛːkrɛːtɛːɐ̯
911,911,Research,Die Forschung,-,diː foːrʃʊŋk
912,912,Sport,Der Sport,Die Sportarten,dɛːr spoːɐ̯t
913,913,Task,Die Aufgabe,Die Aufgaben,diː aʊ̯fɡaːbə
914,914,Grant,Das Stipendium,Die Stipendien,daːs stiːpɛndiːʊm
915,915,Sheriff,Der Sheriff,Die Sheriffs,dɛːr shɛːrɪf
916,916,Midnight,Die Mitternacht,-,diː mɪtɛːrnaxt
917,917,Chip,Der Chip,Die Chips,dɛːr xiːp
918,918,Theory,Die Theorie,Die Theorien,diː tɛːoːriː
919,919,Alarm,Der Alarm,Die Alarme,dɛːr aːlaːɐ̯m
920,920,Collection,Die Sammlung,Die Sammlungen,diː zamlʊŋk
921,921,Cross,Das Kreuz,Die Kreuze,daːs krɔɪ̯s
922,922,Pine,Die Kiefer,Die Kiefern,diː kiːfɐ
923,923,Generation,Die Generation,Die Generationen,diː ɡɛːnɛːraːtiːoːn
924,924,Authority,Die Autorität,Die Autoritäten,diː aʊ̯toːriːtɛt
925,925,Papa,Der Papa,Die Papas,dɛːr paːpaː
926,926,Journey,Die Reise,Die Reisen,diː raɪ̯zə
927,927,Pearl,Die Perle,Die Perlen,diː pɛːrlə
928,928,Toilet,Die Toilette,Die Toiletten,diː tɔɪ̯lɛtə
929,929,Killer,Der Mörder,Die Mörder,dɛːr møːrdɐ
930,930,Tool,Das Werkzeug,Die Werkzeuge,daːs vɛːrkt͡sɔɪ̯k
931,931,Medicine,Die Medizin,Die Medizinen,diː mɛːdiːt͡siːn
932,932,Sugar,Der Zucker,-,dɛːr t͡suːkɐ
933,933,Princess,Die Prinzessin,Die Prinzessinnen,diː priːnt͡sɛziːn
934,934,Argument,Das Argument,Die Argumente,daːs aːrɡmɛnt
935,935,Cliff,Die Klippe,Die Klippen,diː klɪpə
936,936,Cart,Der Wagen,Die Wagen,dɛːr vaɡn̩
937,937,Crystal,Der Kristall,Die Kristalle,dɛːr krɪstal
938,938,Bean,Die Bohne,Die Bohnen,diː boːnə
939,939,Cage,Der Käfig,Die Käfige,dɛːr kɛːfɪç
940,940,Chocolate,Die Schokolade,-,diː ʃoːkoːlaːdə
941,941,Coast,Die Küste,Die Küsten,diː kʏstə
942,942,Decade,Das Jahrzehnt,Die Jahrzehnte,daːs jaːrt͡sent
943,943,Meaning,Die Bedeutung,Die Bedeutungen,diː bɛːdɔɪ̯tʊŋk
944,944,Gear,Das Getriebe,Die Getriebe,daːs ɡɛːtriːbə
945,945,Suitcase,Der Koffer,Die Koffer,dɛːr kɔfɐ
946,946,Operation,Die Operation,Die Operationen,diː oːpɛːraːtiːoːn
947,947,Breathing,Das Atmen,-,daːs atmn̩
948,948,Role,Die Rolle,Die Rollen,diː rɔlə
949,949,Version,Die Version,Die Versionen,diː fɛːrziːoːn
950,950,Prisoner,Der Gefangene,Die Gefangenen,dɛːr ɡɛːfaŋɛːnə
951,951,Match,Das Spiel,Die Spiele,daːs spiːl
952,952,Beam,Der Strahl,Die Strahlen,dɛːr straːl
953,953,Castle,Das Schloss,Die Schlösser,daːs ʃlɔs
954,954,Rush,Der Rausch,Die Räusche,dɛːr raʊ̯ʃ
955,955,Lane,Die Fahrspur,Die Fahrspuren,diː faːrspuːɐ̯
956,956,Clothing,Die Kleidung,-,diː klaɪ̯dʊŋk
957,957,Pole,Der Pfahl,Die Pfähle,dɛːr p͡faːl
958,958,Freedom,Die Freiheit,-,diː fraɪ̯aɪ̯t
959,959,Skill,Die Fähigkeit,Die Fähigkeiten,diː fɛːɪɡkaɪ̯t
960,960,Passion,Die Leidenschaft,Die Leidenschaften,diː laɪ̯dɛnʃaft
961,961,Activity,Die Aktivität,Die Aktivitäten,diː aktiːfiːtɛt
962,962,Fuck,Der Fick,Die Ficks,dɛːr fiːk
963,963,Platform,Die Plattform,Die Plattformen,diː platfoːɐ̯m
964,964,Salt,Das Salz,-,daːs zaːls
965,965,Bike,Das Fahrrad,Die Fahrräder,daːs faːraːt
966,966,Stack,Der Stapel,Die Stapel,dɛːr stapl̩
967,967,Companion,Der Begleiter,Die Begleiter,dɛːr bɛɡlaɪ̯tɐ
968,968,Fate,Das Schicksal,-,daːs ʃɪkzaːl
969,969,Rage,Die Wut,Die Wut,diː vʊt
970,970,Supply,Die Versorgung,Die Versorgungen,diː fɛːrzoːrɡŋk
971,971,Whale,Der Wal,Die Wale,dɛːr vaːl
972,972,Pig,Das Schwein,Die Schweine,daːs ʃvaɪ̯n
973,973,Rabbit,Das Kaninchen,Die Kaninchen,daːs kaːninxn̩
974,974,Aisle,Der Gang,Die Gänge,dɛːr ɡaŋk
975,975,Monitor,Der Monitor,Die Monitore,dɛːr moːniːtoːɐ̯
976,976,Helmet,Der Helm,Die Helme,dɛːr hɛlm
977,977,Respect,Der Respekt,-,dɛːr rɛspɛkt
978,978,Excitement,Die Aufregung,-,diː aʊ̯frɛɡŋk
979,979,Lobby,Die Lobby,Die Lobbys,diː loːbyː
980,980,Boyfriend,Der Freund,Die Freunde,dɛːr frɔɪ̯nt
981,981,Fur,Der Pelz,Die Felle,dɛːr pɛːls
982,982,Range,Die Bandbreite,Die Bandbreiten,diː bandbraɪ̯tə
983,983,Dick,Der Schwanz,Die Schwänze,dɛːr ʃvaːns
984,984,Code,Der Code,Die Codes,dɛːr koːdə
985,985,Chapter,Das Kapitel,Die Kapitel,daːs kaːpitl̩
986,986,Reflection,Die Reflexion,Die Reflexionen,diː rɛflɛksiːoːn
987,987,Mail,Die Post,Die Mails,diː pɔst
988,988,Fly,Die Fliege,Die Fliegen,diː fliːɡə
989,989,Cabinet,Der Schrank,Die Schränke,dɛːr ʃraŋk
990,990,Toy,Das Spielzeug,Die Spielzeuge,daːs spiːlt͡sɔɪ̯k
991,991,Baseball,Der Baseball,Die Baseballs,dɛːr baːzɛːbal
992,992,Inside,Das Innere,-,daːs ɪnɛːrə
993,993,Pace,Das Tempo,-,daːs tɛmpoː
994,994,Handle,Der Griff,Die Griffe,dɛːr ɡrɪf
995,995,Lead,Das Blei,-,daːs blaɪ̯
996,996,Amount,Die Menge,Die Mengen,diː mɛŋə
997,997,Nerve,Der Nerv,Die Nerven,dɛːr nɛːɐ̯f
998,998,Terror,Der Terror,-,dɛːr tɛroːɐ̯
999,999,Sweater,Der Pullover,Die Pullover,dɛːr pʊloːfɐ
1000,1000,Quality,Die Qualität,Die Qualitäten,diː kvaːliːtɛt
1001,1001,Hunter,Der Jäger,Die Jäger,dɛːr jɛːɡɐ
1002,1002,Paint,Die Farbe,Die Farben,diː faːrbə
1003,1003,Buster,Der Zerstörer,Die Zerstörer,dɛːr t͡sɛːrstøːrɐ
1004,1004,Cotton,Die Baumwolle,-,diː baʊ̯mvɔlə
1005,1005,Sergeant,Der Feldwebel,Die Feldwebel,dɛːr fɛldvɛbl̩
1006,1006,Credit,Der Kredit,Die Kredite,dɛːr krɛːdiːt
1007,1007,Blow,Der Schlag,Die Schläge,dɛːr ʃlaːk
1008,1008,Devil,Der Teufel,Die Teufel,dɛːr tɔɪ̯fɛːl
1009,1009,Threat,Die Bedrohung,Die Bedrohungen,diː bɛːdroːʊŋk
1010,1010,Success,Der Erfolg,Die Erfolge,dɛːr ɛːrfɔlk
1011,1011,Eve,Der Abend,Die Abende,dɛːr abn̩t
1012,1012,Cable,Das Kabel,Die Kabel,daːs kabl̩
1013,1013,Pan,Die Pfanne,Die Pfannen,diː p͡fanə
1014,1014,Clerk,Der Angestellte,Die Angestellten,dɛːr aŋɛstɛltə
1015,1015,Title,Der Titel,Die Titel,dɛːr titl̩
1016,1016,Meter,Der Meter,Die Meter,dɛːr mɛːtɐ
1017,1017,Shame,Die Schande,-,diː ʃandə
1018,1018,Needle,Die Nadel,Die Nadeln,diː nadl̩
1019,1019,Lung,Die Lunge,Die Lungen,diː lʊŋə
1020,1020,Warrior,Der Krieger,Die Krieger,dɛːr kriːɡɐ
1021,1021,Circumstance,Die Umstände,-,diː ʊmstɛndə
1022,1022,Studio,Das Studio,Die Studios,daːs stuːdiːoː
1023,1023,Panic,Die Panik,-,diː paːniːk
1024,1024,Lack,Der Mangel,-,dɛːr maŋl̩
1025,1025,Farmer,Der Bauer,Die Bauern,dɛːr baʊ̯ɐ
1026,1026,Accent,Der Akzent,Die Akzente,dɛːr aːkt͡sɛnt
1027,1027,Bomb,Die Bombe,Die Bomben,diː bɔmbə
1028,1028,Panel,Das Panel,Die Panels,daːs panl̩
1029,1029,Ability,Die Fähigkeit,Die Fähigkeiten,diː fɛːɪɡkaɪ̯t
1030,1030,Fortune,Das Glück,-,daːs ɡlyːk
1031,1031,Victor,Der Sieger,Die Sieger,dɛːr ziːɡɐ
1032,1032,Feather,Die Feder,Die Federn,diː fɛːdɐ
1033,1033,Grandma,Die Oma,Die Omas,diː oːmaː
1034,1034,Glow,Das Leuchten,Die Leuchten,daːs lɔɪ̯çtən
1035,1035,Behavior,Das Verhalten,-,daːs fɛːrhaltn̩
1036,1036,Passage,Der Durchgang,Die Durchgänge,dɛːr duːrxɡaŋk
1037,1037,Slave,Der Sklave,Die Sklaven,dɛːr sklaːfə
1038,1038,Lieutenant,Der Leutnant,Die Leutnants,dɛːr lɔɪ̯tnant
1039,1039,Barrel,Das Fass,Die Fässer,daːs fas
1040,1040,Warmth,Die Wärme,-,diː vɛːrmə
1041,1041,Impression,Der Eindruck,Die Eindrücke,dɛːr aɪ̯ndrʊk
1042,1042,Mason,Der Maurer,Die Maurer,dɛːr maʊ̯rɐ
1043,1043,Bride,Die Braut,Die Bräute,diː braʊ̯t
1044,1044,Package,Das Paket,Die Pakete,daːs paːkɛːt
1045,1045,Fog,Der Nebel,-,dɛːr nɛbl̩
1046,1046,Walking,Das Gehen,-,daːs ɡeːən
1047,1047,Balance,Das Gleichgewicht,-,daːs ɡlaɪ̯çɡjuːɪçt
1048,1048,Sock,Die Socke,Die Socken,diː zoːkə
1049,1049,Robot,Der Roboter,Die Roboter,dɛːr roːboːtɐ
1050,1050,Potato,Die Kartoffel,Die Kartoffeln,diː kaːrtɔfɛːl
1051,1051,Item,Der Gegenstand,Die Gegenstände,dɛːr ɡɛːɡɛnstant
1052,1052,Bath,Das Bad,Die Bäder,daːs baːt
1053,1053,Diamond,Der Diamant,Die Diamanten,dɛːr diːaːmant
1054,1054,Corpse,Die Leiche,Die Leichen,diː laɪ̯çə
1055,1055,Explanation,Die Erklärung,Die Erklärungen,diː ɛːrklɛːrʊŋk
1056,1056,Structure,Die Struktur,Die Strukturen,diː strʊktuːɐ̯
1057,1057,Exit,Der Ausgang,Die Ausgänge,dɛːr aʊ̯sɡaŋk
1058,1058,Pad,Das Kissen,Die Kissen,daːs kɪzɛːn
1059,1059,Stove,Der Herd,Die Herde,dɛːr hɛːɐ̯t
1060,1060,Blue,Das Blau,-,daːs blaʊ̯
1061,1061,American,Der Amerikaner,Die Amerikaner,dɛːr aːmɛːriːkaːnɐ
1062,1062,Ruby,Der Rubin,Die Rubine,dɛːr ruːbiːn
1063,1063,Lightning,Das Blitz,Die Blitze,daːs bliːt͡s
1064,1064,Pit,Die Grube,Die Gruben,diː ɡruːbə
1065,1065,Colonel,Der Oberst,Die Obersten,dɛːr oːbɛːrst
1066,1066,Dock,Der Hafen,Die Häfen,dɛːr haːfɛːn
1067,1067,Creek,Der Bach,Die Bäche,dɛːr bax
1068,1068,Advice,Der Rat,Die Ratschläge,dɛːr raːt
1069,1069,Tourist,Der Tourist,Die Touristen,dɛːr tuːrɪst
1070,1070,Grief,Die Trauer,-,diː traʊ̯ɐ
1071,1071,Defense,Die Verteidigung,-,diː fɛːrtaɪ̯dɪɡŋk
1072,1072,Bite,Der Biss,Die Bisse,dɛːr bɪs
1073,1073,Museum,Das Museum,Die Museen,daːs muːzɔɪ̯m
1074,1074,Favor,Der Gefallen,Die Gefallen,dɛːr ɡɛːfaln̩
1075,1075,Supper,Das Abendessen,-,daːs aːbɛndɛzɛːn
1076,1076,Comfort,Der Komfort,-,dɛːr kɔmfoːɐ̯t
1077,1077,Dean,Der Dekan,-,dɛːr dɛːkaːn
1078,1078,Value,Der Wert,Die Werte,dɛːr vɛːɐ̯t
1079,1079,March,Der Marsch,Die Märsche,dɛːr maːɐ̯ʃ
1080,1080,Estate,Das Anwesen,Die Anwesen,daːs anvɛːzɛːn
1081,1081,Poet,Der Dichter,Die Dichter,dɛːr dɪçtɐ
1082,1082,Palace,Der Palast,Die Paläste,dɛːr paːlast
1083,1083,Soup,Die Suppe,Die Suppen,diː zʊpə
1084,1084,Nation,Die Nation,Die Nationen,diː naːtiːoːn
1085,1085,Jar,Das Glas,Die Gläser,daːs ɡlaːs
1086,1086,Standing,Der Stand,-,dɛːr stant
1087,1087,Sack,Der Sack,Die Säcke,dɛːr zaːk
1088,1088,Demon,Der Dämon,Die Dämonen,dɛːr dɛːmoːn
1089,1089,Conference,Die Konferenz,Die Konferenzen,diː kɔnfɛːrɛːns
1090,1090,Juice,Der Saft,Die Säfte,dɛːr zaft
1091,1091,Responsibility,Die Verantwortung,-,diː fɛːrantvoːrtʊŋk
1092,1092,Brush,Die Bürste,Die Bürsten,diː byːrstə
1093,1093,Route,Die Route,Die Routen,diː ruːtə
1094,1094,Cheese,Der Käse,Die Käse,dɛːr kɛːzə
1095,1095,Hood,Die Motorhaube,Die Motorhauben,diː moːtoːrhaʊ̯bə
1096,1096,Duck,Die Ente,Die Enten,diː ɛntə
1097,1097,Saint,Der Heilige,Die Heiligen,dɛːr haɪ̯liːɡə
1098,1098,Pass,Der Pass,Die Pässe,dɛːr pas
1099,1099,Target,Das Ziel,Die Ziele,daːs t͡siːl
1100,1100,Orange,Die Orange,Die Orangen,diː oːraŋə
1101,1101,Culture,Die Kultur,Die Kulturen,diː kʊltuːɐ̯
1102,1102,Tour,Die Tour,Die Touren,diː tuːɐ̯
1103,1103,Commander,Der Kommandant,Die Kommandanten,dɛːr kɔmandant
1104,1104,Hook,Der Haken,Die Haken,dɛːr hakn̩
1105,1105,Mist,Der Nebel,-,dɛːr nɛbl̩
1106,1106,Training,Das Training,Die Trainings,daːs traɪ̯nɪŋk
1107,1107,Search,Die Suche,Die Suchen,diː zʊxə
1108,1108,Coin,Die Münze,Die Münzen,diː myːnt͡sə
1109,1109,Miracle,Das Wunder,Die Wunder,daːs vʊndɐ
1110,1110,Advantage,Der Vorteil,Die Vorteile,dɛːr foːrtaɪ̯l
1111,1111,Exchange,Der Austausch,Die Austausche,dɛːr aʊ̯staʊ̯ʃ
1112,1112,Fiction,Die Fiktion,-,diː fɪktiːoːn
1113,1113,Pond,Der Teich,Die Teiche,dɛːr taɪ̯ç
1114,1114,Assistant,Der Assistent,Die Assistenten,dɛːr azɪstɛnt
1115,1115,Design,Das Design,Die Designs,daːs dɛːzɪnj
1116,1116,Fishing,Das Angeln,-,daːs aŋɛln
1117,1117,Slope,Der Hang,Die Hänge,dɛːr haŋk
1118,1118,Earl,Der Graf,Die Grafen,dɛːr ɡraːf
1119,1119,Comment,Der Kommentar,Die Kommentare,dɛːr kɔmɛntaː
1120,1120,Waiter,Der Kellner,Die Kellner,dɛːr kɛlnɐ
1121,1121,Grocery,Der Lebensmittel,Die Lebensmittel,dɛːr lɛːbɛnsmɪtl̩
1122,1122,Ladder,Die Leiter,Die Leitern,diː laɪ̯tɐ
1123,1123,Curve,Die Kurve,Die Kurven,diː kuːrfə
1124,1124,Volume,Das Volumen,Die Volumina,daːs foːlumn̩
1125,1125,Risk,Das Risiko,Die Risiken,daːs riːziːkoː
1126,1126,Nightmare,Der Albtraum,Die Albträume,dɛːr albtraʊ̯m
1127,1127,Existence,Die Existenz,-,diː ɛksɪstɛːns
1128,1128,Trace,Die Spur,Die Spuren,diː spuːɐ̯
1129,1129,Disease,Die Krankheit,Die Krankheiten,diː kraŋkhaɪ̯t
1130,1130,Support,Die Unterstützung,-,diː ʊntɛːrstyːt͡sʊŋk
1131,1131,Witness,Der Zeuge,Die Zeugen,dɛːr t͡sɔɪ̯ɡə
1132,1132,Stock,Der Bestand,Die Bestände,dɛːr bɛstant
1133,1133,Device,Das Gerät,Die Geräte,daːs ɡɛːrɛt
1134,1134,Landscape,Die Landschaft,Die Landschaften,diː land͡ʒaft
1135,1135,Holiday,Der Feiertag,Die Feiertage,dɛːr faɪ̯ɛːrtaːk
1136,1136,Ace,Das Ass,Die Asse,daːs as
1137,1137,Piano,Das Klavier,Die Klaviere,daːs klaːfiːɐ̯
1138,1138,Gut,Der Darm,-,dɛːr daːɐ̯m
1139,1139,Talent,Das Talent,Die Talente,daːs taːlɛnt
1140,1140,Imagination,Die Fantasie,-,diː fantaːziː
1141,1141,Black,Das Schwarz,-,daːs ʃvaːrs
1142,1142,Reed,Der Rohrkolben,Die Rohrkolben,dɛːr roːrkɔlbn̩
1143,1143,Lid,Der Deckel,Die Deckel,dɛːr dɛkl̩
1144,1144,Hint,Der Hinweis,Die Hinweise,dɛːr hɪnvaɪ̯s
1145,1145,Walker,Der Spaziergänger,Die Spaziergänger,dɛːr spaːt͡siːrɡɛŋɐ
1146,1146,Chill,Das Schaudern,-,daːs ʃaʊ̯dɛːɐ̯n
1147,1147,Trial,Der Prozess,Die Prozesse,dɛːr proːt͡sɛs
1148,1148,Interview,Das Interview,Die Interviews,daːs ɪntɛːrfiːf
1149,1149,Approach,Der Ansatz,Die Ansätze,dɛːr anzaːt͡s
1150,1150,Scar,Die Narbe,Die Narben,diː naːrbə
1151,1151,Fashion,Die Mode,-,diː moːdə
1152,1152,Channel,Der Kanal,Die Kanäle,dɛːr kaːnaːl
1153,1153,Footstep,Der Fußabdruck,Die Fußabdrücke,dɛːr fuːsabdrʊk
1154,1154,Pickup,Der Pick-up,Die Pick-ups,dɛːr piːk-ʊp
1155,1155,Hawk,Der Habicht,Die Habichte,dɛːr haːbɪçt
1156,1156,Trailer,Der Anhänger,Die Anhänger,dɛːr aːnhɛŋɐ
1157,1157,Statue,Die Statue,Die Statuen,diː staːtyː
1158,1158,Pill,Die Pille,Die Pillen,diː pɪlə
1159,1159,Bug,Der Käfer,Die Käfer,dɛːr kɛːfɐ
1160,1160,Bucket,Der Eimer,Die Eimer,dɛːr aɪ̯mɐ
1161,1161,Vacation,Der Urlaub,Die Urlaube,dɛːr uːrlaʊ̯p
1162,1162,Species,Die Art,Die Arten,diː aːɐ̯t
1163,1163,Column,Die Säule,Die Säulen,diː zɔɪ̯lə
1164,1164,Damage,Der Schaden,-,dɛːr ʃadn̩
1165,1165,Instrument,Das Instrument,Die Instrumente,daːs ɪnstruːmɛnt
1166,1166,Port,Der Hafen,Die Häfen,dɛːr haːfɛːn
1167,1167,Layer,Die Schicht,Die Schichten,diː ʃɪçt
1168,1168,Strip,Der Streifen,Die Streifen,dɛːr straɪ̯fɛːn
1169,1169,Garbage,Der Müll,-,dɛːr mʏl
1170,1170,Rib,Die Rippe,Die Rippen,diː rɪpə
1171,1171,Notebook,Das Notizbuch,Die Notizbücher,daːs noːtiːt͡sbʊx
1172,1172,Corn,Der Mais,-,dɛːr maɪ̯s
1173,1173,Offer,Das Angebot,Die Angebote,daːs aŋɛːboːt
1174,1174,Drawing,Die Zeichnung,Die Zeichnungen,diː t͡saɪ̯çnʊŋk
1175,1175,Statement,Die Aussage,Die Aussagen,diː aʊ̯zaːɡə
1176,1176,Intelligence,Die Intelligenz,-,diː ɪntɛliːɡɛːns
1177,1177,Excuse,Die Entschuldigung,Die Entschuldigungen,diː ɛntʃʊldɪɡŋk
1178,1178,Landing,Die Landung,Die Landungen,diː landʊŋk
1179,1179,Copyright,Das Urheberrecht,-,daːs uːrhɛːbɛrɛçt
1180,1180,Rod,Die Stange,Die Stangen,diː staŋə
1181,1181,Fantasy,Die Fantasie,Die Fantasien,diː fantaːziː
1182,1182,Curiosity,Die Neugierde,-,diː nɔɪ̯ɡiːrdə
1183,1183,Gown,Das Gewand,Die Gewänder,daːs ɡjuːant
1184,1184,Border,Die Grenze,Die Grenzen,diː ɡrɛːnt͡sə
1185,1185,Poetry,Die Poesie,-,diː pøːziː
1186,1186,Firm,Die Firma,Die Firmen,diː fiːrmaː
1187,1187,Rise,Der Anstieg,Die Anstiege,dɛːr anstiːk
1188,1188,Handful,Die Handvoll,Die Handvoll,diː handfɔl
1189,1189,China,Das Porzellan,-,daːs poːrt͡sɛlaːn
1190,1190,French,Der Franzose,Die Franzosen,dɛːr fraːnt͡soːzə
1191,1191,Mean,Der Durchschnitt,Die Durchschnitte,dɛːr duːrxʃnɪt
1192,1192,Deer,Das Reh,Die Rehe,daːs reː
1193,1193,Print,Der Druck,Die Drucke,dɛːr drʊk
1194,1194,Rail,Die Schiene,Die Schienen,diː ʃiːnə
1195,1195,Rate,Der Tarif,Die Tarife,dɛːr taːriːf
1196,1196,Courage,Der Mut,-,dɛːr mʊt
1197,1197,Arrival,Die Ankunft,Die Ankünfte,diː aŋkʊnft
1198,1198,Wish,Der Wunsch,Die Wünsche,dɛːr vunʃ
1199,1199,Ridge,Der Bergrücken,Die Bergrücken,dɛːr bɛːrɡrykn̩
1200,1200,Idiot,Der Idiot,Die Idioten,dɛːr iːdiːoːt
1201,1201,Bull,Der Stier,Die Stiere,dɛːr stiːɐ̯
1202,1202,Seed,Der Samen,Die Samen,dɛːr zamn̩
1203,1203,Progress,Der Fortschritt,-,dɛːr foːrtʃrɪt
1204,1204,Feel,Das Gefühl,Die Gefühle,daːs ɡɛːfyːl
1205,1205,Shorts,Die kurze Hose,Die kurze Hosen,diː kuːrt͡sɛː hoːzə
